f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.209,-15.834448033716296,-0.2297771020840063,-0.22977687986441409,-15.836758579281955
1.21,-15.820162801488909,-0.2302474203525383,-0.23024723342479525,-15.822469115038878
1.211,-15.805891128451567,-0.2307186540900508,-0.23071850250096493,-15.80819321669117
1.212,-15.79163301005729,-0.2311908046186274,-0.23119068841351986,-15.793930879695836
1.213,-15.77738844172581,-0.23166387325276816,-0.23166379247547203,-15.779682099476663
1.214,-15.763157418843845,-0.23213786129938477,-0.23213781599225758,-15.76544687142448
1.215,-15.748939936765344,-0.23261277005780379,-0.23261276026172728,-15.751225190897385
1.216,-15.734735990811739,-0.23308860081975882,-0.23308862657414658,-15.737017053221013
1.217,-15.720545576272178,-0.2335653548693897,-0.2335654162121898,-15.722822453688774
1.218,-15.706368688403812,-0.23404303348323968,-0.23404313045094155,-15.7086413875621
1.219,-15.692205322431988,-0.23452163793024966,-0.23452177055789145,-15.694473850070684
1.22,-15.678055473550556,-0.23500116947176433,-0.23500133779292975,-15.680319836412744
1.221,-15.66391913692206,-0.23548162936151623,-0.23548183340834639,-15.666179341755237
1.222,-15.64979630767803,-0.23596301884563406,-0.23596325864882972,-15.652052361234137
1.223,-15.635686980919186,-0.23644533916263558,-0.23644561475146425,-15.637938889954643
1.224,-15.621591151715716,-0.23692859154342394,-0.23692890294572422,-15.623838922991451
1.225,-15.6075088151075,-0.23741277721128867,-0.23741312445347512,-15.609752455388964
1.226,-15.593439966104352,-0.23789789738189981,-0.23789828048896453,-15.595679482161575
1.227,-15.579384599686279,-0.2383839532633098,-0.2383843722588332,-15.581619998293856
1.228,-15.5653427108037,-0.238870946055944,-0.23887140096209628,-15.56757399874084
1.229,-15.5513142943777,-0.23935887695260816,-0.23935936779015118,-15.553541478428228
1.23,-15.537299345300271,-0.23984774713847196,-0.23984827392677477,-15.539522432252648
1.231,-15.523297858434532,-0.24033755779108373,-0.24033812054811632,-15.525516855081879
1.232,-15.509309828615,-0.24082831008035457,-0.24082890882269853,-15.511524741755093
1.233,-15.495335250647797,-0.2413200051685634,-0.24132063991142144,-15.497546087083087
1.234,-15.481374119310898,-0.2418126442103548,-0.24181331496753872,-15.483580885848529
1.235,-15.467426429354367,-0.24230622835272927,-0.24230693513668827,-15.469629132806162
1.236,-15.453492175500605,-0.24280075873504986,-0.24280150155686045,-15.455690822683081
1.237,-15.439571352444553,-0.2432962364890373,-0.24329701535840992,-15.44176595017892
1.238,-15.425663954853952,-0.24379266273876501,-0.24379347766405765,-15.427854509966124
1.239,-15.411769977369577,-0.2442900386006659,-0.24429088958887377,-15.413956496690142
1.24,-15.397889414605444,-0.24478836518351432,-0.24478925224029352,-15.400071904969694
1.241,-15.384022261149074,-0.24528764358844793,-0.24528856671810323,-15.386200729396972
1.242,-15.370168511561694,-0.24578787490893483,-0.2457888341144401,-15.37234296453789
1.2429999999999999,-15.3563281603785,-0.24628906023080402,-0.24629005551379216,-15.358498604932285
1.244,-15.342501202108833,-0.24679120063222065,-0.24679223199300498,-15.344667645094177
1.245,-15.328687631236477,-0.2472942971836947,-0.24729536462126384,-15.330850079511972
1.246,-15.314887442219835,-0.24779835094807678,-0.24779945446010027,-15.317045902648708
1.2469999999999999,-15.301100629492176,-0.24830336298055314,-0.24830450256339096,-15.303255108942245
1.248,-15.287327187461843,-0.24880933432865732,-0.2488105099773548,-15.28947769280553
1.249,-15.273567110512516,-0.24931626603224497,-0.24931747774055726,-15.275713648626803
1.25,-15.2598203930034,-0.24982415912351574,-0.24982540688389457,-15.261962970769819
1.251,-15.246087029269466,-0.250333014627004,-0.2503342984306103,-15.248225653574059
1.252,-15.23236701362167,-0.2508428335595637,-0.25084415339627614,-15.234501691354978
1.2530000000000001,-15.218660340347167,-0.2513536169303918,-0.2513549727888048,-15.220791078404208
1.254,-15.20496700370957,-0.25186536574100754,-0.2518667576084406,-15.207093808989786
1.255,-15.191286997949113,-0.2523780809852577,-0.25237950884776217,-15.193409877356366
1.256,-15.177620317282923,-0.25289176364931854,-0.2528932274916793,-15.179739277725432
1.2570000000000001,-15.163966955905202,-0.25340641471168546,-0.2534079145174277,-15.16608200429554
1.258,-15.150326907987475,-0.2539220351431847,-0.25392357089458034,-15.15243805124252
1.259,-15.136700167678791,-0.25443862590695704,-0.2544401975850325,-15.138807412719679
1.26,-15.123086729105939,-0.25495618795847547,-0.2549577955430034,-15.125190082858044
1.2610000000000001,-15.109486586373684,-0.2554747222455217,-0.2554763657150486,-15.111586055766557
1.262,-15.095899733564956,-0.255994229708205,-0.2559959090400359,-15.097995325532303
1.263,-15.08232616474108,-0.25651471127894976,-0.2565164264491668,-15.08441788622071
1.264,-15.068765873941993,-0.25703616788249906,-0.25703791886595917,-15.070853731875767
1.2650000000000001,-15.05521885518645,-0.2575586004359103,-0.25756038720625696,-15.057302856520245
1.266,-15.041685102472249,-0.2580820098485588,-0.2580838323782207,-15.0437652541559
1.267,-15.028164609776427,-0.2586063970221353,-0.2586082552823379,-15.030240918763681
1.268,-15.014657371055467,-0.25913176285064277,-0.259133656811407,-15.01672984430395
1.2690000000000001,-15.00116338024554,-0.25965810822039864,-0.2596600378505536,-15.003232024716674
1.27,-14.987682631262691,-0.2601854340100305,-0.26018739927721407,-14.98974745392166
1.271,-14.974215118003041,-0.26071374109048273,-0.2607157419611483,-14.976276125818732
1.272,-14.960760834343018,-0.26124303032500873,-0.2612450667644307,-14.96281803428797
1.2730000000000001,-14.947319774139551,-0.26177330256917075,-0.26177537454144956,-14.949373173189883
1.274,-14.933891931230283,-0.262304558670841,-0.2623066661389104,-14.935941536365654
1.275,-14.920477299433761,-0.2628367994702086,-0.2628389423958365,-14.9225231176373
1.276,-14.90707587254966,-0.26337002579976354,-0.2633722041435636,-14.909117910807904
1.2770000000000001,-14.893687644358995,-0.26390423848430855,-0.263906452205741,-14.895725909661818
1.278,-14.880312608624296,-0.2644394383409553,-0.26444168739833435,-14.882347107964872
1.279,-14.866950759089828,-0.26497562617912185,-0.26497791052961855,-14.868981499464539
1.28,-14.853602089481798,-0.265512802800535,-0.26551512240019,-14.855629077890185
1.2810000000000001,-14.840266593508552,-0.2660509689992321,-0.26605332380294894,-14.842289836953231
1.282,-14.826944264860773,-0.26659012556155076,-0.26659251552311586,-14.82896377034738
1.283,-14.813635097211677,-0.2671302732661447,-0.26713269833821895,-14.815650871748803
1.284,-14.800339084217224,-0.2676714128839681,-0.26767387301810447,-14.80235113481633
1.2850000000000001,-14.787056219516314,-0.26821354517828566,-0.2682160403249239,-14.78906455319166
1.286,-14.773786496730988,-0.26875667090466815,-0.2687592010131495,-14.775791120499571
1.287,-14.7605299094666,-0.26930079081099384,-0.26930335582955955,-14.762530830348075
1.288,-14.74728645131205,-0.2698459056374474,-0.2698485055132497,-14.749283676328648
1.289,-14.734056115839957,-0.27039201611652264,-0.27039465079562397,-14.736049652016426
1.29,-14.72083889660686,-0.2709391229730175,-0.2709417924004036,-14.722828750970367
1.291,-14.707634787153419,-0.27148722692403543,-0.27148993104362074,-14.709620966733485
1.292,-14.694443781004589,-0.27203632867899874,-0.2720390674336181,-14.696426292833003
1.293,-14.68126587166984,-0.27258642893962653,-0.27258920227105704,-14.683244722780586
1.294,-14.668101052643314,-0.27313752839994837,-0.27314033624891076,-14.670076250072494
1.295,-14.65494931740407,-0.2736896277463051,-0.2736924700524637,-14.656920868189797
1.296,-14.641810659416203,-0.2742427276573463,-0.2742456043593205,-14.64377857059855
1.297,-14.6286850721291,-0.2747968288040274,-0.27479973983939426,-14.630649350749998
1.298,-14.615572548977587,-0.2753519318496167,-0.275354877154918,-14.61753320208074
1.299,-14.60247308338214,-0.2759080374496919,-0.27591101696043835,-14.60443011801295
1.3,-14.589386668749057,-0.2764651462521419,-0.27646815990282114,-14.591340091954523
1.301,-14.576313298470659,-0.27702325889716817,-0.2770263066212443,-14.578263117299306
1.302,-14.563252965925457,-0.27758237601728164,-0.27758545774720983,-14.565199187427238
1.303,-14.550205664478366,-0.27814249823730314,-0.2781456139045325,-14.55214829570457
1.304,-14.537171387480859,-0.2787036261743763,-0.2787067757093464,-14.53911043548403
1.305,-14.524150128271172,-0.2792657604379515,-0.279268943770111,-14.526085600105015
1.306,-14.511141880174474,-0.27982890162979435,-0.27983211868759983,-14.513073782893763
1.307,-14.498146636503064,-0.2803930503439863,-0.2803963010549069,-14.500074977163546
1.308,-14.48516439055653,-0.28095820716693304,-0.2809614914574581,-14.487089176214845
1.309,-14.47219513562196,-0.28152437267734337,-0.28152769047299286,-14.474116373335535
1.31,-14.45923886497409,-0.2820915474462562,-0.28209489867157894,-14.461156561801047
1.311,-14.44629557187551,-0.28265973203702577,-0.2826631166156066,-14.44820973487458
1.312,-14.433365249576823,-0.28322892700532626,-0.2832323448597951,-14.43527588580724
1.313,-14.420447891316844,-0.2837991328991542,-0.2838025839511874,-14.42235500783825
1.314,-14.40754349032275,-0.28437035025883123,-0.28437383442915953,-14.409447094195105
1.315,-14.394652039810278,-0.2849425796169951,-0.284946096825412,-14.396552138093766
1.316,-14.381773532983894,-0.2855158214986175,-0.2855193716639792,-14.383670132738803
1.317,-14.36890796303697,-0.2860900764209912,-0.2860936594612253,-14.370801071323617
1.318,-14.356055323151946,-0.28666534489373796,-0.28666896072585085,-14.357944947030571
1.319,-14.343215606500529,-0.28724162741880616,-0.287245275958886,-14.345101753031184
1.32,-14.330388806243825,-0.2878189244904781,-0.28782260565370027,-14.332271482486298
1.321,-14.317574915532564,-0.2883972365953634,-0.28840095029600055,-14.319454128546251
1.322,-14.304773927507227,-0.28897656421240947,-0.2889803103638297,-14.306649684351045
1.323,-14.291985835298233,-0.28955690781289184,-0.2895606863275738,-14.29385814303052
1.324,-14.279210632026107,-0.2901382678604274,-0.2901420786499597,-14.281079497704514
1.325,-14.26644831080166,-0.2907206448109698,-0.290724487786053,-14.268313741483052
1.326,-14.253698864726136,-0.2913040391128078,-0.29130791418327356,-14.255560867466482
1.327,-14.240962286891392,-0.2918884512065766,-0.29189235828138,-14.242820868745675
1.328,-14.228238570380071,-0.29247388152524884,-0.2924778205124788,-14.230093738402163
