f_GHz,S11_dB,S21_dB,S12_dB,S22_dB
1.15,-14.730146580754278,-0.2568281317269528,-0.25680374031923847,-14.732373266460986
1.151,-14.719206460350819,-0.2572938542620388,-0.25726967257320354,-14.721431043674283
1.152,-14.708275371860163,-0.25776021464933474,-0.25773624342541557,-14.71049785889078
1.153,-14.697353313832284,-0.25822721353863887,-0.25820345351224716,-14.699573710600266
1.154,-14.686440284798994,-0.25869485157487004,-0.2586713034652424,-14.68865859727494
1.155,-14.675536283274027,-0.2591631293980563,-0.25913979391110503,-14.677752517369477
1.156,-14.66464130775315,-0.2596320476433433,-0.2596089254717052,-14.666855469321145
1.157,-14.653755356714257,-0.26010160694098144,-0.2600786987640733,-14.655967451549872
1.158,-14.642878428617461,-0.2605718079163347,-0.2605491144003912,-14.645088462458364
1.159,-14.632010521905183,-0.261042651189863,-0.26102017298800007,-14.634218500432182
1.16,-14.621151635002272,-0.2615141373771352,-0.26149187512939204,-14.62335756383984
1.161,-14.610301766316066,-0.26198626708881606,-0.26196422142220943,-14.612505651032881
1.162,-14.599460914236523,-0.26245904093066663,-0.26243721245923896,-14.601662760346002
1.163,-14.588629077136297,-0.26293245950354693,-0.2629108488284154,-14.590828890097121
1.164,-14.57780625337083,-0.2634065234034032,-0.26338513111281525,-14.580004038587472
1.165,-14.566992441278462,-0.2638812332212791,-0.26386005989065525,-14.569188204101701
1.166,-14.556187639180527,-0.26435658954329455,-0.26433563573528474,-14.558381384907968
1.167,-14.545391845381424,-0.26483259295066774,-0.2648118592151976,-14.547583579258013
1.168,-14.534605058168752,-0.26530924401969047,-0.26528873089401545,-14.536794785387281
1.169,-14.523827275813366,-0.26578654332173873,-0.26576625133048837,-14.526015001514986
1.17,-14.513058496569506,-0.26626449142326725,-0.2662444210785002,-14.51524422584422
1.171,-14.502298718674867,-0.26674308888580606,-0.26672324068705766,-14.504482456562041
1.172,-14.491547940350713,-0.2672223362659578,-0.26720271070029683,-14.493729691839555
1.173,-14.480806159801954,-0.2677022341154016,-0.2676828316574679,-14.482985929832026
1.174,-14.470073375217268,-0.26818278298088016,-0.2681636040929466,-14.472251168678959
1.175,-14.459349584769164,-0.26866398340421255,-0.2686450285362236,-14.46152540650418
1.176,-14.44863478661411,-0.26914583592227154,-0.269127105511911,-14.45080864141595
1.177,-14.43792897889259,-0.26962834106700523,-0.26960983553972595,-14.440100871507049
